nome,saldo,atualizado_em,observacao
Armário da cozinha,0,2026-07-16,
Empréstimo Bradesco,52000,2026-07-16,
Empréstimo Leader Bradescard - Lidia,1400,2026-07-16,
Empréstimo,10000,2026-07-16,
Saque aniversário,8000,2026-07-16,
Bicama,520,2026-07-16,
